180.64516129032245, 311277096889762050
225.80645161290317, 421347323635206300
277.41935483870964, 518040442348937300
335.48387096774184, 619681015443595900
396.7741935483872, 721179075928741500
461.290322580645, 839322263898219000
519.3548387096774, 976771480314156200
583.8709677419355, 1121265467408926700
648.3870967741935, 1235132290081620200
725.8064516129031, 1379530955984660200
796.7741935483872, 1519700048330031900
870.9677419354838, 1651295716090539500
938.7096774193548, 1769702577936127000
1016.1290322580645, 1922994134964028700
1096.7741935483868, 2089615278419452200
1177.4193548387098, 2239672724607007200
1258.0645161290322, 2400505952053858300
1332.2580645161293, 2502991163116822500
1422.5806451612902, 2757718537548347000
1509.6774193548385, 2915542749398485500
1593.5483870967741, 3040241202538333700
