180.64516129032245, 1441513815990912.2
225.80645161290317, 1924605542736381.2
280.64516129032256, 2432294488888732.5
335.48387096774184, 2949715508802033
390.32258064516134, 3626721915635499.5
454.8387096774194, 4220849647974561
516.1290322580645, 4845121358000398
583.8709677419355, 5486061676625861
651.6129032258065, 6211789240334722
722.5806451612904, 6657372238215794
793.548387096774, 7538233159254325
867.7419354838709, 8079163438497224
938.7096774193548, 8778547665318802
1019.3548387096772, 9280486608670198
1090.3225806451615, 9946192878618208
1174.1935483870966, 10515154372297890
1251.6129032258063, 10964349768060434
1341.9354838709678, 11433860952300722
1419.3548387096776, 12254636491150632
1506.4516129032259, 12955969248425134
1593.5483870967741, 13144041933631636
