Power_W,Pressure_mTorr,Pressure_Pa,nAr,nArm,nArr,nArp,ne,Tg,Te_model
200,1,0.133322,3.16316053879274e+19,1.06587482511014e+17,6.29373751260305e+16,1.11901136532993e+15,2.93302746729507e+17,306.158048935985,4.55449130107948
214.141414141414,1,0.133322,3.16066773089547e+19,1.08327095567736e+17,6.43575019167142e+16,1.21727707396035e+15,3.14037525729826e+17,306.573957860733,4.54048341361878
228.282828282828,1,0.133322,3.15822099757795e+19,1.09899995811502e+17,6.56436519151186e+16,1.31571796803486e+15,3.34699624691528e+17,306.987759841356,4.52766568607356
242.424242424242,1,0.133322,3.1558160605096e+19,1.1132605988425e+17,6.68120157454147e+16,1.41420304676587e+15,3.55287760811422e+17,307.399554929662,4.51589788915629
256.565656565657,1,0.133322,3.15344925085704e+19,1.12622142520487e+17,6.78762872315584e+16,1.51262388312478e+15,3.75801198468336e+17,307.809435113826,4.50506111211574
270.707070707071,1,0.133322,3.15111740049224e+19,1.13802630910076e+17,6.88481273633618e+16,1.61089041403558e+15,3.96239623062361e+17,308.21748517427,4.49505384980325
284.848484848485,1,0.133322,3.14881775600866e+19,1.14879881222166e+17,6.97375285093025e+16,1.70892761712363e+15,4.16603044224039e+17,308.623783434506,4.4857889211233
298.989898989899,1,0.133322,3.14654791011988e+19,1.15864565508374e+17,7.05531030029914e+16,1.80667286578047e+15,4.36891721095437e+17,309.028402420701,4.47719102025915
313.131313131313,1,0.133322,3.14430574645146e+19,1.16765949743752e+17,7.13023137967548e+16,1.90407380784965e+15,4.57106104300518e+17,309.431409441221,4.46919475419556
327.272727272727,1,0.133322,3.1420893947519e+19,1.17592118449267e+17,7.19916603058488e+16,2.00108665208743e+15,4.77246790641048e+17,309.832867096521,4.46174305751048
341.414141414141,1,0.133322,3.13989719428108e+19,1.18350157505898e+17,7.26268292800687e+16,2.09767477480544e+15,4.97314487571719e+17,310.23283372859,4.45478590244352
355.555555555556,1,0.133322,3.13772766367177e+19,1.19046303973916e+17,7.32128181488737e+16,2.19380757984597e+15,5.17309985241431e+17,310.631363817984,4.44827924198396
369.69696969697,1,0.133322,3.13557947595476e+19,1.19686069669468e+17,7.37540365288707e+16,2.28945956044048e+15,5.37234134425725e+17,311.028508335393,4.44218413827599
383.838383838384,1,0.133322,3.13345143773467e+19,1.2027434371585e+17,7.4254390277841e+16,2.384609523033e+15,5.57087829071982e+17,311.424315053729,4.43646603947867
397.979797979798,1,0.133322,3.13134247172435e+19,1.20815478133556e+17,7.4717351501737e+16,2.47923994186402e+15,5.76871992475042e+17,311.81882882585,4.4310941763665
412.121212121212,1,0.133322,3.12925160201598e+19,1.21313359659025e+17,7.51460171818313e+16,2.57333641974871e+15,5.96587566323185e+17,312.212091832329,4.42604105613326
426.262626262626,1,0.133322,3.127177941595e+19,1.21771470313741e+17,7.5543158525555e+16,2.66688723558013e+15,6.16235502022944e+17,312.604143803038,4.42128203558481
440.40404040404,1,0.133322,3.12512068170384e+19,1.22192938730672e+17,7.59112627114566e+16,2.75988296303076e+15,6.35816753839739e+17,312.995022215781,4.41679495954375
454.545454545455,1,0.133322,3.12307908273888e+19,1.22580583845567e+17,7.62525683633698e+16,2.85231614799553e+15,6.55332273490071e+17,313.384762474792,4.4125598531123
468.686868686869,1,0.133322,3.12105246642564e+19,1.22936952248534e+17,7.65690958274394e+16,2.94418103472676e+15,6.74783005897326e+17,313.773398071482,4.40855865864549
482.828282828283,1,0.133322,3.11904020906447e+19,1.23264350245756e+17,7.68626731204229e+16,3.03547333250984e+15,6.94169885882474e+17,314.160960729532,4.40477501002192
496.969696969697,1,0.133322,3.11704173567724e+19,1.23564871486888e+17,7.71349582555798e+16,3.12619001623499e+15,7.13493835607363e+17,314.547480536132,4.4011940381728
511.111111111111,1,0.133322,3.11505651491568e+19,1.2384042085888e+17,7.73874585236262e+16,3.21632915542249e+15,7.32755762624702e+17,314.932986060943,4.39780220292337
525.252525252525,1,0.133322,3.11308405461644e+19,1.2409273522305e+17,7.76215472032632e+16,3.30588976722317e+15,7.51956558417534e+17,315.317504464128,4.39458714707648
539.393939393939,1,0.133322,3.11112389790732e+19,1.24323401472438e+17,7.78384780930226e+16,3.39487168969287e+15,7.71097097333768e+17,315.701061594674,4.3915375693729
553.535353535354,1,0.133322,3.10917561978528e+19,1.24533872305711e+17,7.80393981893272e+16,3.4832754722702e+15,7.90178235839544e+17,316.083682080011,4.3886431135334
567.676767676768,1,0.133322,3.10723882409972e+19,1.24725480048183e+17,7.82253587813767e+16,3.57110228089848e+15,8.09200812029578e+17,316.465389407882,4.38589427105128
581.818181818182,1,0.133322,3.10531314088494e+19,1.24899448796888e+17,7.83973251891901e+16,3.65835381565252e+15,8.28165645344349e+17,316.846206001239,4.38328229578325
595.959595959596,1,0.133322,3.10339822399489e+19,1.25056905122537e+17,7.8556185334858e+16,3.74503223907487e+15,8.4707353645334e+17,317.226153286882,4.38079912869707
610.10101010101,1,0.133322,3.10149374899985e+19,1.25198887524926e+17,7.87027573071796e+16,3.83114011370865e+15,8.65925267270995e+17,317.605251758476,4.37843733139113
624.242424242424,1,0.133322,3.09959941131168e+19,1.25326354808266e+17,7.88377960551962e+16,3.91668034755048e+15,8.84721601078392e+17,317.983521034483,4.37619002721265
638.383838383838,1,0.133322,3.09771492450789e+19,1.2544019351795e+17,7.89619993256302e+16,4.00165614633934e+15,9.03463282728265e+17,318.360979911518,4.37405084897807
652.525252525253,1,0.133322,3.09584001883053e+19,1.25541224559438e+17,7.9076012942203e+16,4.08607097176219e+15,9.22151038915448e+17,318.737646413541,4.3720138924454
666.666666666667,1,0.133322,3.09397443983791e+19,1.25630209102483e+17,7.9180435510521e+16,4.16992850479032e+15,9.4078557849775e+17,319.113537837305,4.37007367481193
680.808080808081,1,0.133322,3.09211794719154e+19,1.25707853859298e+17,7.92758226202743e+16,4.25323261347682e+15,9.59367592855292e+17,319.488670794371,4.36822509761347
694.949494949495,1,0.133322,3.09027031356169e+19,1.25774815812879e+17,7.93626906063991e+16,4.33598732463875e+15,9.77897756278243e+17,319.86306125003,4.36646341348874
709.090909090909,1,0.133322,3.08843132363853e+19,1.25831706461276e+17,7.94415199223674e+16,4.41819679893103e+15,9.96376726375012e+17,320.236724559383,4.36478419634596
723.232323232323,1,0.133322,3.08660077323636e+19,1.2587909563475e+17,7.95127581715428e+16,4.4998653088852e+15,1.01480514449415e+18,320.609675500851,4.36318331453105
737.373737373737,1,0.133322,3.08477846848114e+19,1.25917514935201e+17,7.95768228364299e+16,4.58099721954651e+15,1.03318363615476e+18,320.981928307319,4.36165690665001
751.515151515152,1,0.133322,3.08296422507174e+19,1.25947460840819e+17,7.96341037404119e+16,4.66159697139042e+15,1.05151281148093e+18,321.353496695121,4.3602013597434
